OAXOO;otro-oaxaca-a-member-of-design-hotels
SAVFP;fairfield-inn-and-suites-savannah-pooler
CHIRN;residence-inn-chicago-downtown-river-north
TQOBA;bloom-tulum-apartments-bonvoy
WASFX;visitation-hotel-frederick-a-tribute-portfolio-hotel
MKEBY;courtyard-milwaukee-brookfield-at-poplar-creek
RSWNA;residence-inn-naples
SJUPR;san-juan-marriott-resort-and-stellaris-casino
SNAAO;springhill-suites-anaheim-maingate
BIOLC;hotel-marques-de-riscal-a-luxury-collection-hotel-elciego
GEOFP;four-points-georgetown
KMJFI;fairfield-kumamoto-aso
YRQDR;delta-hotels-trois-rivieres-conference-centre
BOMMN;navi-mumbai-marriott-hotel
MCOGV;marriotts-grande-vista
GFKOA;the-olive-ann-hotel-grand-forks-a-tribute-portfolio-hotel
CMEJO;city-express-junior-ciudad-del-carmen-aeropuerto
ELPTX;marriott-el-paso
ANCMT;courtyard-midtown-anchorage
BCNFP;four-points-barcelona-diagonal
OSAUU;four-points-flex-osaka-umeda
YHZLC;muir-a-luxury-collection-hotel-halifax
LNKRD;residence-inn-lincoln-downtown
LONTP;delta-hotels-tudor-park-country-club
NYCJJ;courtyard-new-york-manhattan-midtown-west
PBCXX;city-express-apizaco
CUNIM;almare-a-luxury-collection-resort-isla-mujeres-cancun-adult-all-inclusive
MADSE;ac-hotel-san-sebastian-de-los-reyes
DADER;marriott-executive-apartments-danang-han-river
HKDXF;four-points-flex-hakodate-station
PGAKS;springhill-suites-kanab
DTWKD;hotel-david-whitney-autograph-collection
MCOSR;renaissance-orlando-at-seaworld
HMOCY;courtyard-hermosillo
HGHDM;deqing-marriott-hotel
UKBCY;courtyard-kobe
BAQFP;four-points-barranquilla
DXBAK;lapita-dubai-parks-and-resorts-autograph-collection
FAOPC;pine-cliffs-ocean-suites-a-luxury-collection-resort-and-spa-algarve
SVQAS;querencia-de-sevilla-autograph-collection
SAVPE;element-pooler-savannah-airport
SJUFP;four-points-caguas-real-hotel-and-casino
YYZMR;toronto-marriott-markham
CUNPC;planet-hollywood-cancun-an-autograph-collection-all-inclusive-resort
PRGDT;prague-marriott-hotel
VLCAK;palacio-santa-clara-autograph-collection
VERXX;city-express-xalapa
MIAWC;citizenm-miami-worldcenter
CHSFD;fairfield-inn-and-suites-charleston-downtown
VLCWI;the-westin-valencia
SZXFL;fairfield-shenzhen-longgang
BJSBC;renaissance-beijing-capital-hotel
YYCSC;sheraton-cavalier-calgary-hotel
BRUMT;courtyard-brussels-eu
FLLSB;fort-lauderdale-marriott-harbor-beach-resort-and-spa
HOUWT;residence-inn-houston-westchase-on-westheimer
DYGTF;fairfield-zhangjiajie-tianmen-mountain
BOSCD;ac-hotel-boston-downtown
JAIFE;the-fern-jaipur-series
ASEXR;the-st-regis-aspen-resort
